"","a1_b1","a1_b2","a2_b1","a2_b2","n","sd","f_a","f_b","f_ab","pwr_a","pwr_b","pwr_ab"
"172",1.2,0.8,0.2,0,10,0.5,0.948683298050514,0.316227766016838,0.105409255338946,99.9824909814139,45.4976890622469,9.44388512559687
"173",1.4,0.8,0.2,0,10,0.5,1.05409255338946,0.421637021355784,0.210818510677892,99.9985996996167,69.214061859491,23.3814772917958
"174",1.6,0.8,0.2,0,10,0.5,1.15950180872841,0.52704627669473,0.316227766016838,99.9999218432618,86.7984282757759,45.4976890622469
"175",1.8,0.8,0.2,0,10,0.5,1.26491106406735,0.632455532033676,0.421637021355784,99.9999969649224,95.833857599418,69.2140618594909
"176",2,0.8,0.2,0,10,0.5,1.3703203194063,0.737864787372622,0.527046276694729,99.9999999182096,99.0520776507534,86.7984282757758
"177",0,1,0.2,0,10,0.5,0.421637021355784,0.421637021355784,0.632455532033676,69.2140618594909,69.214061859491,95.833857599418
"178",0.2,1,0.2,0,10,0.5,0.52704627669473,0.316227766016838,0.52704627669473,86.7984282757758,45.4976890622469,86.7984282757758
"179",0.4,1,0.2,0,10,0.5,0.632455532033676,0.210818510677892,0.421637021355784,95.8338575994181,23.3814772917957,69.214061859491
"180",0.6,1,0.2,0,10,0.5,0.737864787372622,0.105409255338946,0.316227766016838,99.0520776507534,9.44388512559687,45.4976890622468
"181",0.8,1,0.2,0,10,0.5,0.843274042711568,0,0.210818510677892,99.8465715863566,5,23.3814772917958
"182",1,1,0.2,0,10,0.5,0.948683298050514,0.105409255338946,0.105409255338946,99.9824909814139,9.44388512559688,9.44388512559688
"183",1.2,1,0.2,0,10,0.5,1.05409255338946,0.210818510677892,0,99.9985996996167,23.3814772917958,5
"184",1.4,1,0.2,0,10,0.5,1.15950180872841,0.316227766016838,0.105409255338946,99.9999218432618,45.497689062247,9.44388512559688
"185",1.6,1,0.2,0,10,0.5,1.26491106406735,0.421637021355784,0.210818510677892,99.9999969649224,69.214061859491,23.3814772917958
